,Amount_Requested,Interest_Rate_Percentage,Loan_Length_in_Months,Loan_Purpose,Monthly_PAYMENT,Total_Amount_Funded,Debt_To_Income_Ratio_Percentage,Status
829,4200,7.88,36,4,131.39,4200,1.42,1
830,35000,10.99,60,11,760.82,35000,1.1,1
831,5000,14.74,36,12,172.69,5000,9.81,0
832,4000,14.65,36,14,137.98,4000,5.67,1
833,16000,7.49,36,9,497.63,16000,3.28,1
834,9500,7.51,36,1,295.56,9500,2.14,1
835,5000,12.53,36,14,167.34,5000,4.85,0
836,11500,11.58,36,1,379.66,11500,23.7,0
837,11000,16.69,60,3,271.55,11000,7.35,0
838,4000,5.79,36,4,121.31,4000,6.17,1
839,4000,5.99,36,1,121.67,4000,4.29,0
840,5000,9.88,36,2,161.06,5000,16.18,1
841,20000,20.3,60,7,533.23,20000,8.4,0
842,5400,10.99,36,1,176.77,5400,4.25,0
843,9000,15.96,36,1,316.24,9000,5.89,0
844,7000,6.03,36,1,213.05,7000,1.73,1
845,15900,13.22,36,1,537.43,15900,20,1
846,4000,9.99,36,8,129.05,4000,22.7,1
847,8500,12.84,36,1,285.76,8500,24.43,1
848,6000,10.37,36,3,194.65,6000,7.29,0
849,17500,13.48,36,2,593.7,17500,3.31,1
850,10000,14.65,36,4,344.95,10000,0.3,1
851,2800,16.29,36,1,98.85,2800,13.66,0
852,12000,16.49,60,1,294.96,12000,15.69,1
853,4200,15.95,60,1,102.03,4200,19.78,0
854,20000,12.99,60,1,454.96,20000,22.69,1
855,15000,7.9,36,1,469.36,15000,16.67,0
856,5950,12.73,36,2,199.72,5950,1.66,1
857,15000,9.76,36,3,482.32,15000,22.4,0
858,7000,11.11,60,1,152.59,7000,8.2,0
859,18000,12.18,36,1,599.4,18000,9.28,1
860,6000,7.29,36,4,186.06,6000,10.35,1
861,9500,7.51,36,6,295.56,9500,2.78,1
862,7500,8.9,36,2,238.15,7500,7.85,1
863,16000,14.65,36,2,551.91,16000,19.44,0
864,13000,16.02,60,6,316.28,13000,13.29,1
865,3000,14.83,60,4,71.11,3000,9.47,0
866,4000,12.73,36,1,134.26,4000,14.81,0
867,10000,13.62,36,14,339.94,10000,0,1
868,3000,7.9,36,2,93.88,3000,9.09,1
869,9500,10.38,36,1,308.24,9500,16.34,1
870,15000,18.17,60,5,382.29,15000,16.53,0
871,12000,17.58,36,1,431.31,12000,21.46,1
872,9500,13.98,60,1,220.95,9500,11.47,0
873,25000,15.37,36,4,871.16,25000,23.85,0
874,6000,11.99,36,1,199.26,6000,22.27,1
875,15250,15.68,36,5,533.78,15250,10.98,0
876,11700,12.12,36,1,389.28,11700,17.82,1
877,16000,14.09,36,1,547.55,16000,3.05,1
878,9200,10.36,60,1,197.11,9200,13.22,1
879,8400,11.49,60,7,184.7,8400,20.11,1
880,20000,16.82,60,1,495.12,20000,4.24,0
881,10800,9.76,36,12,347.27,10800,10.97,1
882,7500,7.05,36,6,231.75,7500,0,0
883,15000,12.61,60,3,218.78,9700,8.04,0
884,5000,7.88,36,1,156.41,5000,14.84,0
885,23975,17.93,36,1,865.92,23975,23.44,0
886,27000,20.5,60,1,722.87,27000,22.66,1
887,6000,10.51,36,1,195.05,6000,14.36,1
888,12000,10.59,36,1,390.54,12000,19.84,1
