,Amount_Requested,Interest_Rate_Percentage,Loan_Length_in_Months,Loan_Purpose,Monthly_PAYMENT,Total_Amount_Funded,Debt_To_Income_Ratio_Percentage,Status
2624,15000,10.39,36,1,486.76,15000,11.37,1
2625,25000,16.15,36,1,880.78,25000,24.84,0
2626,10000,12.21,36,6,333.15,10000,0,1
2627,13000,18.3,60,1,221.71,8675,20.51,0
2628,10000,14.09,36,1,342.22,10000,13.06,0
2629,13000,10.25,36,1,421.01,13000,17.61,1
2630,25000,15.21,60,1,597.51,25000,19.54,0
2631,12250,13.16,36,3,413.69,12250,11.35,0
2632,6500,10.96,36,7,121.89,3725,17.41,1
2633,7500,10.2,36,5,242.71,7500,11.99,0
2634,15600,13.61,36,1,530.23,15600,20.58,1
2635,25000,16.45,60,1,415.03,16900,15.43,1
2636,18000,13.49,60,1,414.09,18000,24.12,1
2637,4000,16.77,60,1,98.92,4000,6.85,0
2638,25000,10.99,36,3,818.38,25000,17.88,1
2639,2400,15.57,36,1,83.87,2400,17.67,0
2640,11000,13.99,36,2,375.91,11000,18.35,0
2641,10000,6.91,36,2,308.36,10000,23.15,1
2642,10800,9.63,36,1,346.62,10800,8.85,0
2643,6000,7.88,36,1,187.69,6000,20.16,0
2644,5000,6.62,36,14,153.52,5000,16.32,0
2645,2500,7.14,36,14,77.36,2500,16.41,0
2646,35000,15.65,60,5,844.64,35000,26.19,0
2647,18000,5.99,36,1,547.52,18000,7.2,1
2648,3900,7.51,36,6,121.33,3900,10.48,1
2649,11325,19.29,60,1,295.59,11325,24.77,0
2650,12000,9.91,36,1,386.7,12000,13.92,0
2651,5000,12.87,36,5,168.17,5000,16.57,0
2652,10000,7.51,36,2,311.1,10000,9.78,1
2653,25000,18.99,60,3,648.38,25000,1.27,1
2654,25000,21.59,60,3,684.66,25000,4,0
2655,35000,16.4,60,2,858.59,35000,6.47,0
2656,12000,14.61,36,14,413.71,12000,16.44,0
2657,4000,16.7,36,1,142.01,4000,0,1
2658,6000,8,36,1,188.02,6000,5.07,0
2659,17400,18.64,60,1,447.93,17400,13.29,1
2660,6000,9.99,36,2,193.58,6000,22.58,0
2661,1200,10.37,36,1,38.93,1200,11.5,1
2662,16000,13.99,60,1,246.01,10575,15.94,0
2663,14300,21.36,60,1,389.77,14300,17.93,0
2664,10800,10.74,36,1,352.25,10800,6.8,0
2665,20000,20.17,36,2,745.01,20000,15.93,1
2666,6950,14.42,36,2,238.96,6950,18,0
2667,7000,16.02,60,4,170.31,7000,1.92,0
2668,7500,13.24,36,14,253.58,7500,11.42,1
2669,25000,15.27,36,1,869.95,25000,17.83,0
2670,14400,8.9,36,2,457.25,14400,10.72,1
2671,6000,16.82,60,1,148.54,6000,10.02,1
2672,4000,12.87,36,14,134.54,4000,23.22,0
2673,9000,12.84,36,2,302.57,9000,19.22,1
2674,5000,14.09,36,1,171.11,5000,10.1,1
2675,17475,18.55,60,1,449,17475,23.35,0
2676,30000,22.06,60,1,829.6,30000,13.59,0
2677,15000,14.96,36,7,519.7,15000,14.14,0
2678,22500,10.99,36,7,736.52,22500,6.69,1
2679,5000,8,36,14,72.08,2300,11.6,1
2680,14000,18.25,60,8,357.42,14000,13.86,0
2681,8000,13.48,36,2,271.4,8000,13.07,0
2682,15000,16,36,1,527.36,15000,7.88,0
2683,15000,9.99,36,1,483.94,15000,14.28,1
2684,2500,20.86,36,8,94.02,2500,0.53,0
2685,14400,8.49,60,2,295.37,14400,7.37,1
2686,1600,13.49,36,5,54.29,1600,14.44,0
2687,10000,10.38,36,2,324.46,10000,8.88,0
2688,2500,10.08,36,6,80.77,2500,1.55,1
2689,25000,16.45,36,1,884.5,25000,24.89,1
2690,10000,10.74,36,4,326.16,10000,12.27,1
2691,25000,11.46,36,3,823.93,25000,13.86,0
2692,5550,15.37,36,4,193.4,5550,8.26,1
2693,17000,11.12,36,2,557.53,17000,23.58,1
2694,10050,13.06,60,5,228.98,10050,8.49,0
2695,2400,17.49,36,14,86.16,2400,8.21,0
2696,2400,14.46,36,14,82.57,2400,15.98,1
2697,8700,13.47,36,2,295.13,8700,20.43,1
2698,6000,12.53,36,2,200.8,6000,19,1
2699,18000,19.74,36,1,666.57,18000,14.06,0
2700,16800,17.58,36,2,603.83,16800,19.52,1
2701,9600,20.62,36,10,359.82,9600,11.04,0
2702,16750,12.53,36,1,560.56,16750,22.45,1
2703,6000,12.99,36,14,202.14,6000,7.29,0
2704,22000,20.49,60,1,588.88,22000,25.39,0
2705,10000,13.99,36,2,341.73,10000,6.33,1
2706,24000,13.67,36,1,816.43,24000,17.68,1
2707,16000,11.99,36,1,531.36,16000,10.9,1
2708,1200,9.62,36,14,38.51,1200,13.56,1
2709,8000,14.27,36,1,274.48,8000,12.42,0
2710,2000,7.66,36,7,62.36,2000,15.55,0
2711,12000,8.94,36,1,381.26,12000,14.66,1
2712,7200,15.23,36,14,250.41,7200,23.45,0
2713,5000,10,36,1,161.34,5000,17.93,0
2714,7500,13.48,36,14,254.44,7500,0,1
2715,25000,12.18,36,2,832.5,25000,22.44,1
2716,6000,7.88,36,14,187.69,6000,16.28,1
2717,8000,10.74,36,5,260.93,8000,10.1,1
2718,18000,16.02,60,1,437.92,18000,16.32,1
2719,9600,16.82,60,1,237.66,9600,14.49,0
2720,3000,12.29,36,4,100.06,3000,1.71,0
2721,16000,16.89,60,1,249.18,10050,13.75,0
2722,12000,15.81,60,1,290.61,12000,15.19,0
2723,5000,7.51,36,1,155.56,5000,20.06,1
2724,5000,6.62,36,1,153.52,5000,1.49,1
2725,2500,10.62,36,14,81.4,2500,21.64,1
2726,25000,17.39,36,3,896.19,25000,2.47,0
2727,2000,13.16,36,14,67.55,2000,14.54,1
2728,8000,12.53,36,10,267.73,8000,21.85,0
2729,15000,14.91,60,3,356.15,15000,9.45,0
2730,7800,10.95,36,1,255.17,7800,20.29,0
2731,3000,13.92,36,4,102.42,3000,4.63,0
2732,5500,10.74,60,6,118.88,5500,17.81,1
2733,6700,6.92,36,2,206.64,6700,7.08,1
2734,10000,8.94,36,1,317.72,10000,4.33,0
2735,6000,10.65,36,1,195.44,6000,17.46,1
2736,6000,14.42,36,1,206.3,6000,4.88,1
2737,19800,13.22,36,1,669.26,19800,11.11,0
2738,16425,14.27,36,1,563.53,16425,22.71,1
2739,5000,9.62,36,1,160.45,5000,0.28,1
2740,2300,13.43,36,1,77.98,2300,18,0
2741,10000,8,36,1,313.37,10000,20.25,1
2742,1000,7.12,36,14,30.94,1000,0.65,1
2743,7500,9.76,36,2,162.39,5050,15.63,1
2744,8000,13.47,36,2,271.39,8000,12.59,0
2745,20800,19.41,60,14,384.66,14700,5.63,1
2746,1900,9.99,60,1,40.37,1900,23.06,1
2747,9975,11.48,36,1,328.87,9975,15.6,1
2748,21600,11.26,36,1,709.85,21600,7.91,0
2749,8000,11.71,36,2,264.61,8000,15.74,1
2750,22250,8.9,36,1,706.51,22250,3.42,0
2751,4800,13.98,36,1,164.01,4800,7.75,0
2752,9000,10.36,60,6,192.83,9000,20.34,0
2753,24000,12.99,60,1,336.11,14775,11.88,0
2754,14000,13.23,36,2,473.27,14000,11.24,1
2755,8000,12.53,36,2,267.74,8000,7.04,0
2756,20000,12.61,36,3,670.13,20000,4.04,1
2757,7000,14.96,36,1,242.52,7000,12.66,0
2758,7500,12.18,36,1,249.75,7500,13.02,0
2759,6000,17.27,36,4,214.73,6000,20.64,0
2760,10000,13.22,36,5,338.01,10000,0.93,0
2761,1000,13.67,36,1,34.02,1000,13.58,1
2762,4000,17.27,36,7,143.15,4000,18.1,0
2763,18000,15.95,60,1,352.84,14525,21.23,1
2764,15000,9.99,36,1,483.94,15000,13.2,0
2765,10000,12.18,36,6,333,10000,2.82,1
2766,10350,20.62,60,1,277.8,10350,18,0
2767,8000,8.9,36,14,254.03,8000,8.63,0
2768,2700,6.76,36,4,83.08,2700,0.27,1
2769,6000,9.99,60,1,127.46,6000,1.81,1
2770,15000,14.17,60,1,350.35,15000,5.79,0
2771,12000,14.65,36,1,413.94,12000,15.89,0
2772,4200,17.19,60,1,104.82,4200,2.37,1
2773,20000,11.11,36,3,655.82,20000,17.67,0
2774,7000,11.86,36,14,232.04,7000,1.2,0
2775,21000,9.76,36,13,675.25,21000,1.79,1
2776,4000,14.22,36,14,137.14,4000,8.73,0
2777,12000,13.92,36,1,408.79,11975,23.14,1
2778,4800,16.07,60,7,116.91,4800,6.9,0
2779,24250,16,36,1,852.57,24250,18.08,0
2780,1200,14.35,36,14,41.22,1200,24.48,0
2781,20000,18.17,60,2,509.72,20000,9.72,1
2782,9600,16.82,60,5,237.66,9600,12.86,0
2783,4800,13.57,36,14,163.05,4800,6.29,1
2784,14000,16.77,60,1,346.21,14000,9.5,0
2785,4500,7.29,36,5,139.55,4500,7.57,1
2786,15000,17.74,36,3,540.32,15000,7.15,0
2787,19750,15.7,36,2,691.47,19750,3.67,0
2788,20000,9.62,60,1,421.22,20000,0.99,0
2789,13800,6.91,36,1,425.54,13800,11.16,1
2790,10000,10.65,36,5,325.74,10000,19.74,1
2791,7200,9.76,36,2,231.52,7200,11.24,1
2792,25900,19.99,36,1,962.41,25900,3.23,0
2793,6000,15.65,60,1,144.8,6000,2.62,1
2794,9500,9.96,36,1,306.36,9500,21.93,1
2795,26400,14.27,60,1,617.99,26400,16.74,1
2796,9750,17.27,36,1,348.93,9750,8.56,0
2797,12000,6.62,36,1,368.45,12000,23.74,1
2798,16000,7.9,36,1,500.65,16000,3.25,1
2799,20000,9.62,36,7,641.79,20000,18.19,1
2800,7000,12.61,36,1,234.55,7000,22.37,1
2801,16400,22.48,60,1,457.44,16400,8.17,0
2802,8000,7.51,36,1,248.88,8000,19.29,1
2803,6500,13.22,36,8,219.71,6500,8.64,0
2804,6000,15.23,36,1,208.67,6000,18.55,1
2805,20000,17.27,60,3,499.96,20000,19.76,0
2806,2000,13.92,36,3,68.28,2000,1.58,1
2807,1500,16.29,36,7,52.96,1500,18.53,0
2808,5075,11.48,36,1,167.32,5075,19.68,0
2809,7000,13.11,36,5,236.22,7000,10.43,1
2810,10000,12.12,36,2,332.72,10000,15.1,1
2811,7000,5.42,36,2,211.12,7000,6.53,1
2812,5000,14.79,36,1,172.82,5000,8.34,0
2813,20000,17.51,36,1,718.15,20000,13.61,1
2814,10000,7.66,36,14,311.8,10000,17.65,0
2815,2000,15.65,36,3,69.98,2000,20.41,1
2816,30000,20.89,60,14,809.75,30000,10.15,0
2817,3500,15.21,36,1,121.69,3500,0.93,1
2818,6600,7.14,36,5,204.22,6600,13.43,1
2819,3000,7.88,36,1,93.85,3000,20.33,0
2820,5500,7.74,36,1,171.71,5500,4.38,1
2821,7750,13.23,36,1,261.99,7750,15.9,0
2822,1500,17.27,36,13,53.69,1500,32.45,0
2823,8400,13.79,36,1,286.24,8400,24.75,0
2824,7000,11.89,36,2,232.15,7000,7.52,1
2825,2000,8,36,1,62.68,2000,10.51,0
2826,2000,15.37,36,1,69.7,2000,15.45,1
2827,6000,11.99,36,1,199.26,6000,20.08,0
2828,5000,15.21,36,14,173.85,5000,14.8,0
2829,29300,12.42,60,4,658,29300,2.05,1
2830,5000,7.14,36,13,154.71,5000,19.36,1
2831,12000,15.95,60,1,291.5,12000,22.47,0
2832,4000,11.83,36,1,132.54,4000,20.68,0
2833,25000,15.65,36,3,874.66,25000,4.25,1
2834,3600,7.51,36,1,112,3600,18.7,1
2835,10000,11.03,36,2,147.39,4500,11.03,0
2836,8000,10.46,36,14,259.87,8000,11.28,0
2837,4200,7.62,36,1,130.88,4200,6.75,1
2838,8875,11.99,36,10,294.74,8875,21.09,1
2839,10000,7.88,36,7,312.82,10000,12.46,1
2840,9600,10.37,60,5,205.73,9600,1.1,1
2841,8125,16.89,60,1,201.45,8125,20.65,0
2842,12000,13.49,60,1,276.06,12000,19.13,0
2843,7000,12.87,36,4,235.44,7000,5.94,0
2844,3200,12.86,36,14,107.61,3200,14.77,1
2845,14500,16.7,36,14,514.77,14500,7.54,0
2846,9800,12.23,36,1,326.58,9800,11.71,0
2847,17000,14.82,36,2,587.82,17000,20.12,1
2848,8000,11.86,36,2,265.18,8000,23.2,1
2849,12000,11.36,36,1,394.94,12000,10.97,1
2850,4000,13.47,36,1,135.7,4000,8.55,0
2851,1000,10.36,36,4,32.44,1000,13.18,1
2852,12000,13.11,36,1,404.94,12000,22.43,1
2853,1000,11.14,36,2,32.81,1000,24.42,1
2854,5000,13.23,36,1,169.03,5000,10.72,1
2855,1250,11.49,36,14,41.22,1250,22.15,1
2856,15000,17.03,36,1,535.02,15000,15.81,0
2857,3200,14.61,36,1,110.33,3200,16.44,1
2858,7500,11.03,36,1,245.65,7500,16.12,0
2859,23000,10.51,36,1,747.67,23000,24.93,1
2860,25000,18.64,60,1,643.58,25000,23.41,0
2861,25000,12.53,36,14,836.66,25000,0.02,1
2862,25000,15.96,36,1,878.44,25000,17.68,1
2863,9500,11.71,36,1,314.23,9500,22.63,1
2864,20000,11.83,36,1,662.68,20000,10.72,0
2865,15000,14.59,36,1,516.98,15000,20.1,0
2866,1000,17.99,36,1,36.15,1000,12.65,0
2867,25000,18.64,60,3,643.58,25000,5.81,0
2868,5000,7.43,36,14,155.38,5000,0.28,1
2869,7000,15.99,36,1,246.07,7000,9.76,1
2870,6000,15.21,60,4,143.41,6000,15.97,1
2871,7000,11.86,36,1,232.04,7000,17.02,1
2872,17325,18.62,60,1,445.81,17325,19.4,0
2873,25000,20.9,60,1,674.93,25000,20.95,1
2874,20000,11.48,36,1,659.37,20000,0.22,1
2875,10000,8.32,36,1,314.85,10000,14.54,0
2876,10000,15.68,36,5,350.02,10000,7.62,0
2877,13650,10.25,36,1,442.06,13650,13.98,0
2878,4500,16.45,60,4,110.52,4500,22.65,0
2879,22000,19.79,36,2,815.25,22000,14.29,0
2880,3500,10.62,36,1,113.96,3500,7.79,1
2881,16000,10.95,36,12,523.42,16000,3.68,0
2882,15350,12.18,36,12,511.16,15350,15.47,0
2883,4000,9.63,36,1,128.38,4000,8.6,1
2884,4800,11.49,60,5,105.55,4800,20.18,0
2885,10000,18.39,36,1,363.49,10000,2.18,0
2886,2850,11.83,36,1,94.44,2850,24.7,0
2887,6000,9.51,36,2,192.23,6000,14.78,1
2888,21000,13.36,36,1,711.22,21000,7.3,0
2889,4000,17.88,60,5,101.32,4000,2.48,0
2890,1000,8.59,36,5,31.62,1000,3.59,1
2891,16000,16.45,60,1,392.93,16000,16.66,0
2892,3000,11.83,36,11,99.41,3000,20.34,0
2893,15850,15.8,36,1,555.68,15850,22.71,0
2894,17500,15.81,60,2,423.81,17500,9.02,0
2895,17400,17.51,60,2,437.23,17400,23.61,1
2896,7000,16.77,36,7,248.77,7000,20.31,0
2897,8000,6.91,36,1,246.69,8000,12.77,1
2898,1950,9.99,36,2,62.92,1950,13.1,0
2899,8000,10.25,36,4,259.08,8000,3.81,1
2900,5000,10.59,36,2,162.73,5000,8.69,1
2901,30600,18.79,36,2,1118.43,30600,17.95,1
2902,3000,22.11,60,14,83.05,3000,0,0
2903,18000,16.63,36,7,638.46,18000,10.91,0
2904,5000,15.62,36,3,174.85,5000,18.28,0
2905,20000,11.49,36,1,659.43,20000,20.95,1
2906,10000,10.74,36,1,326.16,10000,16.55,1
2907,5000,13.61,36,14,169.95,5000,15.48,0
2908,7000,8.49,36,4,220.95,7000,19.16,1
2909,15000,13.49,60,1,345.08,15000,21.6,1
2910,12875,17.99,36,1,465.4,12875,13.64,0
2911,9000,14.46,60,14,211.57,9000,22.94,0
2912,5000,14.65,36,1,172.48,5000,16.39,1
2913,6000,13.99,36,5,205.04,6000,17.58,0
2914,5000,15.37,36,8,174.24,5000,0.32,1
2915,18000,13.8,60,1,416.97,18000,11.89,0
2916,5500,19.05,36,4,201.75,5500,24.96,0
2917,14125,14.74,36,1,487.84,14125,11.24,0
2918,15850,11.11,60,13,345.49,15850,28.37,0
2919,8000,17.14,60,1,199.43,8000,13.89,0
2920,17000,10.25,36,1,550.55,17000,13.14,0
2921,3000,6.91,36,14,92.51,3000,15.62,1
2922,14000,9.76,36,3,450.17,14000,1.21,1
2923,16000,10,36,1,516.28,16000,18.73,1
2924,28000,15.31,36,1,974.89,28000,16.98,1
2925,8000,12.17,36,2,266.37,8000,10.2,0
2926,20000,11.14,36,1,656.07,20000,0.82,0
2927,5000,11.89,36,5,165.82,5000,2.23,1
2928,4000,13.61,36,2,135.96,4000,16.52,1
2929,5000,13.47,36,1,169.62,5000,12.48,1
2930,18000,12.99,36,1,606.41,18000,12.22,0
2931,18000,13.92,36,1,614.47,18000,17.52,1
2932,7500,13.24,36,1,253.58,7500,16.76,0
2933,4750,14.61,36,1,163.76,4750,10.71,1
2934,10000,17.14,36,1,357.23,10000,10.48,0
2935,24250,15.31,36,1,844.28,24250,5.99,0
2936,1800,6.62,36,1,55.27,1800,16.56,1
2937,6000,14.61,36,1,206.86,6000,17.72,0
2938,34475,14.27,60,14,807.01,34475,29.56,1
2939,25000,15.68,36,1,875.04,25000,15.73,0
2940,7800,16.77,36,1,277.2,7800,8.09,1
2941,3500,12.18,36,14,116.55,3500,13.53,1
2942,5000,15.7,36,10,175.06,5000,3.17,0
2943,3500,13.11,36,10,118.12,3500,23.36,0
2944,16000,13.11,36,1,539.92,16000,20.96,1
2945,3500,13.24,36,1,118.34,3500,23.05,1
2946,10000,15.31,36,1,348.16,10000,18.6,0
2947,12000,11.86,36,1,397.77,12000,21.26,0
2948,7550,13.22,36,1,255.2,7550,13.49,0
2949,18000,13.61,60,1,415.2,18000,12.06,1
2950,4000,13.43,36,8,135.61,4000,18.91,0
2951,6000,16.45,36,4,212.27,6000,15.13,1
2952,12000,11.89,36,1,397.97,12000,15.26,1
2953,35000,19.69,60,1,654.1,24850,13.72,0
2954,2000,10.99,36,6,65.47,2000,9.36,1
2955,1500,8.49,36,14,47.35,1500,10.42,0
2956,31000,12.42,60,2,696.18,31000,14.14,1
2957,12250,12.73,36,3,411.19,12250,16.63,1
2958,9000,10.36,36,1,291.93,9000,14.73,0
2959,2600,6.92,36,1,80.19,2600,14.52,1
2960,21600,13.49,36,1,732.9,21600,9.66,0
2961,3200,11.11,36,14,104.94,3200,10.58,1
2962,8000,8.9,36,5,254.03,8000,6.41,1
2963,6000,11.86,60,1,133.05,6000,3.9,0
2964,3000,7.49,36,1,93.31,3000,20.8,1
2965,6000,16.7,36,1,213.01,6000,0.76,0
2966,3100,9.32,36,5,99.04,3100,23.89,1
2967,11725,20.89,60,1,316.48,11725,4.7,0
2968,10750,15.2,36,1,373.71,10750,10.8,0
2969,9500,9.88,36,6,306,9500,13.7,1
2970,1000,9.76,36,9,32.16,1000,14.66,0
2971,9000,12.53,36,1,301.2,9000,9.76,0
2972,6800,8.9,36,2,215.93,6800,17.65,1
2973,18250,17.49,60,1,458.39,18250,14.26,0
2974,15000,11.78,36,1,496.64,15000,22.43,1
2975,25000,13.67,36,5,850.44,25000,14.21,0
2976,22000,14.46,36,8,756.84,22000,22.43,1
2977,6400,15.31,36,7,222.84,6400,12.57,1
2978,25000,10.62,36,3,813.98,25000,16.96,0
2979,8000,16.77,36,1,284.31,8000,12.06,1
2980,14300,20.62,60,14,383.82,14300,19.2,0
2981,12000,10.75,36,1,391.45,12000,17.57,0
2982,8400,13.98,60,12,195.37,8400,15.02,0
2983,25000,18.25,60,1,638.25,25000,2.88,1
2984,12000,12.12,36,1,399.26,12000,14.93,1
2985,6250,16.29,36,6,220.63,6250,18,0
2986,11200,6.92,36,2,345.42,11200,24.9,1
2987,9000,16.29,36,1,317.71,9000,23.56,0
2988,8500,7.51,36,1,264.45,8500,16.26,1
2989,2000,10.25,36,1,64.77,2000,17.04,0
2990,3250,9.63,36,1,104.31,3250,13.8,0
2991,6000,10.75,36,4,195.73,6000,9.72,1
2992,1000,11.14,36,12,32.81,1000,9.5,1
2993,5000,9.63,36,3,160.48,5000,0.39,1
2994,9000,12.49,36,1,301.04,9000,4.64,0
2995,2400,13.92,36,14,81.93,2400,21,0
2996,20000,10.37,36,1,648.83,20000,10.44,1
2997,12000,16,36,3,421.89,12000,17.48,0
2998,3100,7.9,36,14,97,3100,10.14,1
2999,6000,16.07,36,1,211.17,6000,15.39,1
3000,9600,12.17,36,1,319.64,9600,19.28,0
3001,13475,14.26,36,1,462.27,13475,22.11,0
3002,5000,7.74,36,11,156.1,5000,5.62,1
3003,1600,12.21,36,1,53.31,1600,18.14,0
3004,1500,7.51,36,5,46.67,1500,9.76,1
3005,20000,14.65,60,1,472.14,20000,22.21,0
3006,1000,10.36,36,2,32.44,1000,15.55,1
3007,6000,10.99,36,1,196.41,6000,11.98,0
3008,5000,13.99,36,4,170.87,5000,3.88,0
3009,12000,13.48,36,5,407.09,12000,8.42,0
3010,9600,13.49,36,1,325.74,9600,24.81,0
3011,14400,9.88,36,1,463.84,14400,23.21,1
3012,15000,9.62,60,5,315.91,15000,7.95,0
3013,5000,8.7,36,2,158.3,5000,15.55,1
3014,3000,12.69,36,10,100.64,3000,1.25,1
3015,20000,11.83,36,2,662.68,20000,24.27,0
3016,9600,15.65,60,1,231.68,9600,19.38,0
3017,9500,9.63,36,10,304.9,9500,9.16,1
3018,15200,15.27,36,14,528.93,15200,22.19,0
3019,4800,16.95,36,12,171.01,4800,9.36,0
3020,15000,7.9,36,1,469.36,15000,14.07,0
3021,6500,7.88,60,2,131.43,6500,5.83,1
3022,11500,11.49,36,2,379.17,11500,23.17,1
3023,16000,11.49,36,1,527.55,16000,22.61,1
3024,8000,11.49,36,1,263.78,8000,20.77,1
3025,8875,10.37,36,1,287.92,8875,20.25,1
3026,20000,9.99,60,1,302.17,14225,7.4,1
3027,14500,10.75,36,2,473,14500,15.96,1
3028,8500,7.51,36,1,264.45,8500,17.16,1
3029,5000,16.45,36,4,176.9,5000,13.51,0
3030,10000,17.93,36,1,361.18,10000,16.24,0
3031,1200,14.11,36,1,41.08,1200,8.28,0
3032,12000,9.91,60,1,254.44,12000,10.43,1
3033,16000,16.32,36,2,565.02,16000,21.46,0
3034,12000,10.38,36,1,389.36,12000,19.17,1
3035,7000,15.38,36,2,243.97,7000,9.24,0
3036,10000,18.79,60,5,258.26,10000,19.06,1
3037,6000,14.74,36,3,207.23,6000,14,0
3038,24000,17.56,60,1,603.72,24000,17.45,0
3039,10000,12.41,36,1,334.11,10000,10.35,1
3040,8600,11.36,36,1,283.04,8600,19.11,1
3041,8000,12.18,36,1,266.4,8000,8.54,1
3042,4800,13.98,60,10,111.64,4800,11.26,0
3043,1500,13.06,36,4,50.59,1500,20.82,1
3044,3000,10.75,36,1,97.87,3000,16.31,0
3045,8000,12.18,36,7,266.4,8000,4.16,1
3046,10000,11.14,36,7,328.04,10000,8.12,0
3047,1800,12.18,36,14,59.94,1800,6.33,0
3048,12000,11.89,36,1,397.97,12000,1.92,1
3049,30000,11.14,36,1,984.16,30000,1.2,1
3050,9200,12.84,36,1,309.29,9200,20.69,0
3051,17475,17.27,60,14,404.35,16175,24.84,0
3052,5000,16.77,36,4,177.7,5000,12.31,1
3053,12000,13.47,36,1,407.08,12000,17.74,0
3054,25000,12.68,60,1,564.74,25000,8.92,0
3055,5400,7.88,60,5,109.19,5400,8.25,1
3056,4500,12.98,36,10,151.58,4500,3.34,0
3057,2500,11.14,36,12,82.02,2500,20.15,0
3058,5000,7.9,60,6,101.15,5000,6.14,1
3059,6000,8.59,36,2,189.67,6000,10.14,1
3060,5000,11.99,36,1,166.05,5000,24.25,0
3061,8500,12.21,36,14,283.18,8500,9.23,1
3062,20000,15.33,36,1,696.57,20000,23.46,1
3063,24000,19.36,60,1,627.34,24000,13.95,0
3064,8500,12.21,36,2,283.18,8500,19.42,1
3065,12250,12.42,36,14,409.34,12250,12.48,0
3066,15000,12.92,36,1,504.84,15000,6.08,0
3067,1500,10.36,36,14,48.66,1500,18.16,0
3068,28000,7.49,36,14,870.85,28000,0.44,1
3069,25000,10.75,36,3,815.52,25000,0.17,1
3070,7000,7.75,36,1,218.55,7000,10.37,1
3071,27300,17.88,60,1,691.46,27300,18.05,0
3072,16000,9.88,36,4,515.37,16000,0.5,0
3073,12000,9.32,36,2,383.37,12000,6.84,1
3074,6200,13.79,36,1,211.27,6200,9,1
3075,14000,8.49,36,1,441.89,14000,22.67,1
3076,3400,16.29,36,14,120.03,3400,15.37,0
3077,12000,6.54,36,1,209.31,6825,11.48,1
3078,7500,12.53,36,6,251,7500,11.28,1
3079,24150,14.61,36,1,832.58,24150,13.88,0
3080,13750,18.79,60,14,355.1,13750,12.38,0
3081,1300,9.07,36,14,41.39,1300,0.75,1
3082,7500,11.34,36,2,180.95,5500,17.15,1
3083,4000,12.53,36,14,133.87,4000,11.92,0
3084,24000,18.79,60,2,619.81,24000,20.13,0
3085,4200,16.02,36,14,147.71,4200,14.87,0
3086,7000,13.85,36,14,238.73,7000,17.57,0
3087,25000,15.31,36,3,870.39,25000,2.69,1
3088,6450,18.25,60,14,164.67,6450,23.52,0
3089,4500,11.97,36,5,149.4,4500,15.49,1
3090,5100,13.06,60,1,116.2,5100,7.34,1
3091,13325,12.42,36,14,445.26,13325,16.33,0
3092,12000,14.27,60,10,280.91,12000,20.7,0
3093,19000,16.82,36,1,675.68,19000,18.41,1
3094,16000,16.77,60,2,395.67,16000,15.2,0
3095,6250,14.72,36,1,215.81,6250,8.92,0
3096,13500,7.49,36,1,377.11,12125,19.32,1
3097,11350,10.37,60,5,243.23,11350,8.56,1
3098,20000,14.65,36,7,689.89,20000,3,0
3099,18900,10.14,36,14,611.1,18900,9.79,1
3100,4800,14.27,36,1,164.69,4800,21.88,0
3101,10000,13.22,36,5,338.01,10000,3.6,1
3102,21250,15.95,36,1,746.57,21250,24.15,1
3103,4500,13.49,36,2,152.69,4500,3.5,1
3104,13000,11.11,60,1,283.37,13000,16.77,0
3105,1900,11.14,36,1,62.33,1900,29.38,1
3106,4000,12.21,36,2,133.26,4000,24.98,0
3107,15000,10.37,36,1,486.62,15000,16.87,1
3108,12000,13.11,36,2,404.97,12000,8.05,1
3109,6000,7.14,36,5,185.64,6000,7.17,1
3110,3500,11.83,36,14,115.97,3500,4.33,0
3111,10000,11.26,36,1,328.64,10000,17.73,1
3112,20000,13.23,60,1,457.42,20000,8.57,1
3113,2500,10.37,36,1,81.11,2500,22.31,1
3114,3000,8.59,36,14,94.84,3000,15.92,1
3115,5000,13.72,60,9,115.62,5000,18.05,1
3116,4200,10.99,36,14,137.49,4200,16.85,0
3117,7800,15.95,60,10,189.48,7800,13.03,0
3118,12000,12.53,36,2,401.6,12000,23.14,1
3119,1000,10,36,2,32.27,1000,23.34,0
3120,8000,15.95,36,3,281.06,8000,0.94,1
3121,7000,5.42,36,1,211.12,7000,6.67,0
3122,5000,16.45,36,1,176.9,5000,16.9,1
3123,4800,10.38,36,5,155.75,4800,12.8,1
3124,8000,7.51,36,5,248.89,8000,2.54,1
3125,16450,16.02,36,1,578.5,16450,22.56,1
3126,22000,12.68,36,1,737.89,22000,7.31,1
3127,20000,7.88,36,1,625.63,20000,0.92,1
3128,13000,11.48,36,2,428.59,13000,5.24,1
3129,1000,12.87,36,1,33.64,1000,23.81,1
3130,20800,18.39,60,1,532.61,20800,15.16,0
3131,23000,12.18,36,1,765.9,23000,14.96,1
3132,24000,7.51,36,1,746.66,24000,3.46,1
3133,6000,8.59,36,1,189.67,6000,24,1
3134,7000,12.68,36,14,234.79,7000,13.58,0
3135,5000,11.12,36,1,163.98,5000,5.5,1
3136,20000,11.12,36,5,655.92,20000,22.69,0
3137,23675,20.3,60,1,631.21,23675,19.27,1
3138,7000,10.62,36,14,227.92,7000,10.58,1
3139,15000,12.53,36,5,502,15000,10.13,0
3140,15000,6.91,36,2,462.54,15000,11.19,1
